3118933 39865.625 33906.250 9250429(36134) 44 13118563(51244) 31 +24658
3143591 39865.625 33903.125 9250429(36134) 44 12908666(50424) 32 +11476
3155067 39862.500 33903.125 9145905(35726) 45 12908666(50424) 32 +35726
3190793 39859.375 33903.125 9044846(35331) 46 12908666(50424) 32 +3222
3194015 39859.375 33900.000 9044846(35331) 46 12708532(49642) 33 +32109
3226124 39856.250 33900.000 8947064(34949) 47 12708532(49642) 33 +17533
3243657 39856.250 33896.875 8947064(34949) 47 12517427(48896) 34 +17416
3261073 39853.125 33896.875 8852387(34579) 48 12517427(48896) 34 +31480
3292553 39853.125 33893.750 8852387(34579) 48 12334691(48182) 35 +3099
3295652 39850.000 33893.750 8760653(34221) 49 12334691(48182) 35 +34221
3329873 39846.875 33893.750 8671713(33873) 50 12334691(48182) 35 +10862
3340735 39846.875 33890.625 8671713(33873) 50 12159731(47498) 36 +23011
3363746 39843.750 33890.625 8585428(33536) 51 12159731(47498) 36 +24487
3388233 39843.750 33887.500 8585428(33536) 51 11992011(46843) 37 +9049
3397282 39840.625 33887.500 8501668(33209) 52 11992011(46843) 37 +33209
3430491 39837.500 33887.500 8420313(32891) 53 11992011(46843) 37 +4585
3435076 39837.500 33884.375 8420313(32891) 53 11831045(46215) 38 +28306
3463382 39834.375 33884.375 8341250(32583) 54 11831045(46215) 38 +17909
3481291 39834.375 33881.250 8341250(32583) 54 11676391(45610) 39 +14674
3495965 39831.250 33881.250 8264373(32282) 55 11676391(45610) 39 +30936
3526901 39831.250 33878.125 8264373(32282) 55 11527648(45029) 40 +1346
3528247 39828.125 33878.125 8189583(31990) 56 11527648(45029) 40 +31990
3560237 39825.000 33878.125 8116787(31706) 57 11527648(45029) 40 +11693
3571930 39825.000 33875.000 8116787(31706) 57 11384448(44470) 41 +20013
3591943 39821.875 33875.000 8045899(31429) 58 11384448(44470) 41 +24457
3616400 39821.875 33871.875 8045899(31429) 58 11246455(43931) 42 +6972
3623372 39818.750 33871.875 7976836(31159) 59 11246455(43931) 42 +31159
3654531 39815.625 33871.875 7909521(30896) 60 11246455(43931) 42 +5800
3660331 39815.625 33868.750 7909521(30896) 60 11113361(43411) 43 +25096
3685427 39812.500 33868.750 7843882(30640) 61 11113361(43411) 43 +18315
3703742 39812.500 33865.625 7843882(30640) 61 10984883(42909) 44 +12325
3716067 39809.375 33865.625 7779851(30390) 62 10984883(42909) 44 +30390
3746457 39806.250 33865.625 7717363(30145) 63 10984883(42909) 44 +194
3746651 39806.250 33862.500 7717363(30145) 63 10860761(42424) 45 +29951
3776602 39803.125 33862.500 7656357(29907) 64 10860761(42424) 45 +12473
3789075 39803.125 33859.375 7656357(29907) 64 10740753(41956) 46 +17434
3806509 39800.000 33859.375 7596775(29674) 65 10740753(41956) 46 +24522
3831031 39800.000 33856.250 7596775(29674) 65 10624637(41502) 47 +5152
3836183 39796.875 33856.250 7538563(29447) 66 10624637(41502) 47 +29447
3865630 39793.750 33856.250 7481669(29225) 67 10624637(41502) 47 +6903
3872533 39793.750 33853.125 7481669(29225) 67 10512207(41063) 48 +22322
3894855 39790.625 33853.125 7426044(29007) 68 10512207(41063) 48 +18741
3913596 39790.625 33850.000 7426044(29007) 68 10403273(40637) 49 +10266
3923862 39787.500 33850.000 7371641(28795) 69 10403273(40637) 49 +28795
3952657 39784.375 33850.000 7318417(28587) 70 10403273(40637) 49 +1576
3954233 39784.375 33846.875 7318417(28587) 70 10297657(40225) 50 +27011
3981244 39781.250 33846.875 7266329(28384) 71 10297657(40225) 50 +13214
3994458 39781.250 33843.750 7266329(28384) 71 10195193(39824) 51 +15170
